font,MJ文字図形名,対応するUCS,総画数(参考),読み(参考),バージョン
あ,,U+3042,3,あ,
い,,U+3044,2,い,
う,,U+3046,2,う,
え,,U+3048,3,え,
お,,U+304A,4,お,
か,,U+304B,3,か,
き,,U+304D,4,き,
く,,U+304F,1,く,
け,,U+3051,3,け,
こ,,U+3053,2,こ,
が,,U+304C,5,が,
ぎ,,U+304E,6,ぎ,
ぐ,,U+3050,3,ぐ,
げ,,U+3052,5,げ,
ご,,U+3054,4,ご,
さ,,U+3055,3,さ,
し,,U+3057,1,し,
す,,U+3059,3,す,
せ,,U+305B,3,せ,
そ,,U+305D,4,そ,
ざ,,U+3056,5,ざ,
じ,,U+3058,3,じ,
ず,,U+305A,5,ず,
ぜ,,U+305C,5,ぜ,
ぞ,,U+305E,6,ぞ,
た,,U+305F,4,た,
ち,,U+3061,3,ち,
つ,,U+3064,1,つ,
て,,U+3066,2,て,
と,,U+3068,2,と,
だ,,U+3060,6,だ,
ぢ,,U+3062,5,ぢ,
づ,,U+3065,3,づ,
で,,U+3067,4,で,
ど,,U+3069,4,ど,
な,,U+306A,5,な,
に,,U+306B,3,に,
ぬ,,U+306C,3,ぬ,
ね,,U+306D,4,ね,
の,,U+306E,1,の,
は,,U+306F,4,は,
ひ,,U+3072,2,ひ,
ふ,,U+3075,4,ふ,
へ,,U+3078,1,へ,
ほ,,U+307B,5,ほ,
ば,,U+3070,6,ば,
び,,U+3073,4,び,
ぶ,,U+3076,6,ぶ,
べ,,U+3079,3,べ,
ぼ,,U+307C,7,ぼ,
ぱ,,U+3071,5,ぱ,
ぴ,,U+3074,3,ぴ,
ぷ,,U+3077,5,ぷ,
ぺ,,U+307A,2,ぺ,
ぽ,,U+307D,6,ぽ,
ま,,U+307E,4,ま,
み,,U+307F,3,み,
む,,U+3080,4,む,
め,,U+3081,2,め,
も,,U+3082,3,も,
や,,U+3084,3,や,
ゐ,,U+3090,3,ゐ,
ゆ,,U+3086,3,ゆ,
ゑ,,U+3091,5,ゑ,
よ,,U+3088,3,よ,
ら,,U+3089,3,ら,
り,,U+308A,2,り,
る,,U+308B,3,る,
れ,,U+308C,3,れ,
ろ,,U+308D,2,ろ,
わ,,U+308F,3,わ,
を,,U+3092,4,を,
ん,,U+3093,2,ん,
ア,,U+30A2,2,あ,
イ,,U+30A4,2,い,
ウ,,U+30A6,3,う,
エ,,U+30A8,3,え,
オ,,U+30AA,3,お,
カ,,U+30AB,2,か,
キ,,U+30AD,3,き,
ク,,U+30AF,2,く,
ケ,,U+30B1,3,け,
コ,,U+30B3,2,こ,
サ,,U+30B5,3,さ,
シ,,U+30B7,3,し,
ス,,U+30B9,2,す,
セ,,U+30BB,2,せ,
ソ,,U+30BD,2,そ,
タ,,U+30BF,3,た,
チ,,U+30C1,3,ち,
ツ,,U+30C4,3,つ,
テ,,U+30C6,3,て,
ト,,U+30C8,2,と,
ナ,,U+30CA,2,な,
ニ,,U+30CB,2,に,
ヌ,,U+30CC,2,ぬ,
ネ,,U+30CD,4,ね,
ノ,,U+30CE,1,の,
ハ,,U+30CF,2,は,
ヒ,,U+30D2,2,ひ,
フ,,U+30D5,1,ふ,
ヘ,,U+30D8,1,へ,
ホ,,U+30DB,4,ほ,
マ,,U+30DE,2,ま,
ミ,,U+30DF,3,み,
ム,,U+30E0,2,む,
メ,,U+30E1,2,め,
モ,,U+30E2,3,も,
ヤ,,U+30E4,2,や,
ヰ,,U+30F0,4,ゐ,
ユ,,U+30E6,2,ゆ,
ヱ,,U+30F1,3,ゑ,
ヨ,,U+30E8,3,よ,
ラ,,U+30E9,2,ら,
リ,,U+30EA,2,り,
ル,,U+30EB,2,る,
レ,,U+30EC,1,れ,
ロ,,U+30ED,3,ろ,
ワ,,U+30EF,2,わ,
ヲ,,U+30F2,3,を,
ン,,U+30F3,2,ん,
ガ,,U+30AC,4,が,
ギ,,U+30AE,5,ぎ,
グ,,U+30B0,4,ぐ,
ゲ,,U+30B2,5,げ,
ゴ,,U+30B4,4,ご,
ザ,,U+30B6,5,ざ,
ジ,,U+30B8,5,じ,
ズ,,U+30BA,4,ず,
ゼ,,U+30BC,4,ぜ,
ゾ,,U+30BE,4,ぞ,
ダ,,U+30C0,5,だ,
ヂ,,U+30C2,5,ぢ,
ヅ,,U+30C5,5,づ,
デ,,U+30C7,5,で,
ド,,U+30C9,4,ど,
バ,,U+30D0,4,ば,
ビ,,U+30D3,4,び,
ブ,,U+30D6,3,ぶ,
ベ,,U+30D9,3,べ,
ボ,,U+30DC,6,ぼ,
パ,,U+30D1,3,ぱ,
ピ,,U+30D4,3,ぴ,
プ,,U+30D7,2,ぷ,
ペ,,U+30DA,2,ぺ,
ポ,,U+30DD,5,ぽ,
