font,MJ文字図形名,対応するUCS,総画数(参考),読み(参考),バージョン
あ,,,3,あ,
い,,,2,い,
う,,,2,う,
え,,,3,え,
お,,,4,お,
か,,,3,か,
き,,,4,き,
く,,,1,く,
け,,,3,け,
こ,,,2,こ,
が,,,5,が,
ぎ,,,6,ぎ,
ぐ,,,3,ぐ,
げ,,,5,げ,
ご,,,4,ご,
さ,,,3,さ,
し,,,1,し,
す,,,3,す,
せ,,,3,せ,
そ,,,4,そ,
ざ,,,5,ざ,
じ,,,3,じ,
ず,,,5,ず,
ぜ,,,5,ぜ,
ぞ,,,6,ぞ,
た,,,4,た,
ち,,,3,ち,
つ,,,1,つ,
て,,,2,て,
と,,,2,と,
だ,,,6,だ,
ぢ,,,5,ぢ,
づ,,,3,づ,
で,,,4,で,
ど,,,4,ど,
な,,,5,な,
に,,,3,に,
ぬ,,,3,ぬ,
ね,,,4,ね,
の,,,1,の,
は,,,4,は,
ひ,,,2,ひ,
ふ,,,4,ふ,
へ,,,1,へ,
ほ,,,5,ほ,
ば,,,6,ば,
び,,,4,び,
ぶ,,,6,ぶ,
べ,,,3,べ,
ぼ,,,7,ぼ,
ぱ,,,5,ぱ,
ぴ,,,3,ぴ,
ぷ,,,5,ぷ,
ぺ,,,2,ぺ,
ぽ,,,6,ぽ,
ま,,,4,ま,
み,,,3,み,
む,,,4,む,
め,,,2,め,
も,,,3,も,
や,,,3,や,
ゐ,,,3,ゐ,
ゆ,,,3,ゆ,
ゑ,,,5,ゑ,
よ,,,3,よ,
ら,,,3,ら,
り,,,2,り,
る,,,3,る,
れ,,,3,れ,
ろ,,,2,ろ,
わ,,,3,わ,
を,,,4,を,
ん,,,2,ん,
ア,,,2,あ,
イ,,,2,い,
ウ,,,3,う,
エ,,,3,え,
オ,,,3,お,
カ,,,2,か,
キ,,,3,き,
ク,,,2,く,
ケ,,,3,け,
コ,,,2,こ,
サ,,,3,さ,
シ,,,3,し,
ス,,,2,す,
セ,,,2,せ,
ソ,,,2,そ,
タ,,,3,た,
チ,,,3,ち,
ツ,,,3,つ,
テ,,,3,て,
ト,,,2,と,
ナ,,,2,な,
ニ,,,2,に,
ヌ,,,2,ぬ,
ネ,,,4,ね,
ノ,,,1,の,
ハ,,,2,は,
ヒ,,,2,ひ,
フ,,,1,ふ,
ヘ,,,1,へ,
ホ,,,4,ほ,
マ,,,2,ま,
ミ,,,3,み,
ム,,,2,む,
メ,,,2,め,
モ,,,3,も,
ヤ,,,2,や,
ヰ,,,4,ゐ,
ユ,,,2,ゆ,
ヱ,,,3,ゑ,
ヨ,,,3,よ,
ラ,,,2,ら,
リ,,,2,り,
ル,,,2,る,
レ,,,1,れ,
ロ,,,3,ろ,
ワ,,,2,わ,
ヲ,,,3,を,
ン,,,2,ん,
ガ,,,4,が,
ギ,,,5,ぎ,
グ,,,4,ぐ,
ゲ,,,5,げ,
ゴ,,,4,ご,
ザ,,,5,ざ,
ジ,,,5,じ,
ズ,,,4,ず,
ゼ,,,4,ぜ,
ゾ,,,4,ぞ,
ダ,,,5,だ,
ヂ,,,5,ぢ,
ヅ,,,5,づ,
デ,,,5,で,
ド,,,4,ど,
バ,,,4,ば,
ビ,,,4,び,
ブ,,,3,ぶ,
ベ,,,3,べ,
ボ,,,6,ぼ,
パ,,,3,ぱ,
ピ,,,3,ぴ,
プ,,,2,ぷ,
ペ,,,2,ぺ,
ポ,,,5,ぽ,
