font,MJ文字図形名,対応するUCS,総画数(参考),読み(参考),バージョン
々,MJ000001,U+3005,3,おなじ・くりかえし・のま,Ver.006.01
〆,MJ000002,U+3006,2,しめ,Ver.006.01
〻,MJ000003,U+303B,2,,Ver.006.01
㐀,MJ000004,U+3400,5,キュウ・おか,Ver.006.01
㐁,MJ000005,U+3401,6,テン,Ver.006.01
㐂,MJ000006,U+3402,6,キ・よろこぶ,Ver.006.01
㐄󠄁,MJ000007,U+3404,3,カ・ケ・クワ,Ver.006.01
㐄󠄀,MJ000008,U+3404,4,カ・ケ,Ver.006.01
㐅,MJ000009,U+3405,2,ゴ,Ver.006.01
㐆,MJ000010,U+3406,6,,Ver.006.01
㐌,MJ000011,U+340C,5,イ,Ver.006.01
��,MJ000012,U+2CF1C,5,イ・ショク,Ver.006.01
㐖,MJ000013,U+3416,7,ケツ・ゲチ,Ver.006.01
㐜,MJ000015,U+341C,9,キュウ・グ,Ver.006.01
㐡,MJ000016,U+3421,11,ジュ,Ver.006.01
㐤,MJ000017,U+3424,12,タン・キュウ,Ver.006.01
㐧,MJ000018,U+3427,4,ダイ・テイ・ただ・ついで・やしき,Ver.006.01
㐨,MJ000020,U+3428,8,ショ・ジョ,Ver.006.01
㐩,MJ000021,U+3429,8,キョウ・ゴ,Ver.006.01
㐪,MJ000022,U+342A,6,ガイ・い,Ver.006.01
㐪󠄁,MJ000023,U+342A,5,ガイ・い,Ver.006.01
㐬,MJ000025,U+342C,7,リュウ・ル・コウ・トツ,Ver.006.01
㐭,MJ000026,U+342D,8,リン・くら,Ver.006.01
㐮,MJ000027,U+342E,13,ジョウ・ショウ・ソウ,Ver.006.01
㐮󠄂,MJ000028,U+342E,13,ジョウ・はらう,Ver.006.01
㐮󠄃,MJ000029,U+342E,13,ジョウ・ショウ・はらう・わりこむ・のぼる・たかい・ゆずる,Ver.006.01
㐯,MJ000030,U+342F,17,ヨウ・あげる,Ver.006.01
㐰,MJ000031,U+3430,5,シン,Ver.006.01
㐱,MJ000032,U+3431,5,シン,Ver.006.01
㐲,MJ000033,U+3432,5,フク・タイ・ダイ・ふせる・ふす,Ver.006.01
㐳,MJ000034,U+3433,5,ゴツ,Ver.006.01
㐴,MJ000035,U+3434,5,ハン,Ver.006.01
㐶,MJ000036,U+3436,5,,Ver.006.01
㐶󠄁,MJ000037,U+3436,5,,Ver.006.01
㐸,MJ000038,U+3438,6,ケン,Ver.006.01
㐹,MJ000039,U+3439,6,キツ,Ver.006.01
㐺,MJ000040,U+343A,6,ギン・シュウ,Ver.006.01
㐻,MJ000041,U+343B,6,ダイ・ネ,Ver.006.01
㐼,MJ000042,U+343C,6,ショウ,Ver.006.01
㑁󠄀,MJ000045,U+3441,7,シュツ・シュチ・チュツ・チュチ,Ver.006.01
㑁,MJ000046,U+3441,7,チュツ,Ver.006.01
㑂󠄀,MJ000047,U+3442,7,ホウ,Ver.006.01
㑂,MJ000048,U+3442,7,ホウ・さまよう・にる,Ver.006.01
㑃,MJ000049,U+3443,7,オウ,Ver.006.01
㑄,MJ000050,U+3444,7,ブ,Ver.006.01
㑅,MJ000051,U+3445,7,サク,Ver.006.01
㑆,MJ000052,U+3446,7,,Ver.006.01
㑉,MJ000053,U+3449,8,シュク,Ver.006.01
㑊,MJ000054,U+344A,8,エキ・ヤク,Ver.006.01
㑋,MJ000055,U+344B,8,キュウ・ク,Ver.006.01
㑌,MJ000056,U+344C,8,オウ,Ver.006.01
㑍,MJ000057,U+344D,8,ライ・レ,Ver.006.01
㑎,MJ000059,U+344E,8,ドウ・ノウ,Ver.006.01
㑐,MJ000060,U+3450,8,シュク,Ver.006.01
㑑,MJ000061,U+3451,8,サン,Ver.006.01
㑒,MJ000062,U+3452,8,セン・みな,Ver.006.01
㑓,MJ000063,U+3453,8,シュン・すぐれる,Ver.006.01
㑗,MJ000064,U+3457,9,シン,Ver.006.01
㑘,MJ000065,U+3458,9,カイ,Ver.006.01
㑙,MJ000066,U+3459,9,チョウ,Ver.006.01
㑚,MJ000067,U+345A,9,ダ,Ver.006.01
㑛,MJ000068,U+345B,9,ソク・ショク,Ver.006.01
㑜,MJ000069,U+345C,9,テイ・エイ・セツ・セチ,Ver.006.01
㑞,MJ000070,U+345E,9,ヨウ,Ver.006.01
㑟,MJ000071,U+345F,9,ホウ・ヒョウ,Ver.006.01
㑣,MJ000072,U+3463,10,ラン,Ver.006.01
㑤󠄁,MJ000073,U+3464,11,ボウ,Ver.006.01
㑤,MJ000074,U+3464,10,ボウ,Ver.006.01
㑥,MJ000075,U+3465,10,イ・シ,Ver.006.01
㑦,MJ000076,U+3466,10,レイ・ライ,Ver.006.01
㑧,MJ000077,U+3467,10,キ・おそれる,Ver.006.01
㑨,MJ000078,U+3468,10,また,Ver.006.01
㑪,MJ000079,U+346A,10,サイ・ザイ・セイ,Ver.006.01
㑮,MJ000080,U+346E,11,コン・ゴン,Ver.006.01
㑯,MJ000081,U+346F,11,シュ,Ver.006.01
㑱,MJ000082,U+3471,11,ショウ,Ver.006.01
㑳,MJ000083,U+3473,12,シュウ・シュ・ス・ドウ・ノウ,Ver.006.01
㑴,MJ000084,U+3474,12,シン,Ver.006.01
㑵,MJ000085,U+3475,12,シツ・ねたむ,Ver.006.01
㑶,MJ000086,U+3476,12,キ・ケ,Ver.006.01
㑷,MJ000087,U+3477,12,タイ,Ver.006.01
㑸,MJ000088,U+3478,12,ヨウ,Ver.006.01
㑹,MJ000089,U+3479,12,カイ・エ・あう,Ver.006.01
㑻,MJ000090,U+347B,13,バツ・マチ,Ver.006.01
㑼,MJ000091,U+347C,13,リャク,Ver.006.01
㑽,MJ000092,U+347D,13,トウ,Ver.006.01
㑾,MJ000093,U+347E,13,ヨウ,Ver.006.01
㑿,MJ000094,U+347F,13,ソウ・ジョウ,Ver.006.01
㒀,MJ000095,U+3480,13,タク・チャク・タ・チャ,Ver.006.01
㒁,MJ000096,U+3481,13,グ,Ver.006.01
㒂,MJ000097,U+3482,15,チャク,Ver.006.01
㒃,MJ000098,U+3483,14,ジ,Ver.006.01
㒄,MJ000099,U+3484,14,ゼン・ネン・セン,Ver.006.01
㒅,MJ000100,U+3485,14,ケイ,Ver.006.01
㒆,MJ000101,U+3486,14,キュウ,Ver.006.01
㒇,MJ000102,U+3487,14,ブ,Ver.006.01
㒈,MJ000103,U+3488,14,カン,Ver.006.01
㒉,MJ000104,U+3489,14,ショウ,Ver.006.01
㒊,MJ000105,U+348A,16,シュウ,Ver.006.01
㒊󠄀,MJ000106,U+348A,16,シュウ,Ver.006.01
㒋,MJ000107,U+348B,14,シ,Ver.006.01
㒌,MJ000108,U+348C,14,ケイ,Ver.006.01
㒍,MJ000109,U+348D,14,ルイ,Ver.006.01
㒎,MJ000110,U+348E,14,ソウ,Ver.006.01
㒑,MJ000111,U+3491,15,カイ・エ,Ver.006.01
㒒,MJ000112,U+3492,15,ボク・しもべ,Ver.006.01
㒓,MJ000113,U+3493,15,タツ・タチ,Ver.006.01
㒔,MJ000114,U+3494,15,トク・ドク・ショク・ゾク,Ver.006.01
㒕,MJ000115,U+3495,15,オウ,Ver.006.01
㒖,MJ000116,U+3496,15,ゴウ,Ver.006.01
㒙,MJ000117,U+3499,16,ベン・メン,Ver.006.01
㒚,MJ000118,U+349A,16,イン・オン,Ver.006.01
㒛,MJ000119,U+349B,16,チョウ・ジョウ,Ver.006.01
